== ALL OBJECTS ==
American Flag | effortless | this donut shop is america-certified. LAND OF THE FREEE BABY!!!!!!!! (Hidden in City)
Lava Lamp | hard | [Hidden in the Backrooms]
Liy | hard | find a hidden light switch somewhere
Mardi Gras Bead | hard | (Hidden in Fossil Falls)
Marimo Ball | hard | talk about camo... (Hidden in Goiky)
Meatloaf | hard | [Hidden in Classic Paradise]
Mechanical Pencil | hard | used for mechanical reasons (Start in Calculator's room)
Minty | hard | people who actually like mint are crazy and you should stay as far away from them as possible (Hidden at Hotel)
Mouthy | hard | [Hidden in Classic Paradise]
Mr. Feet | hard | [Hidden in Magma Canyon realm]
Nine | hard | oh no, he lost his skateboard! find it and click it!
Palmy | hard | underneath the map lies a upside down tree...
Pancakes | hard | [Hidden in Midnight Rooftops Realm]
Peanut Butter | hard | what? only 96 chocolate balls?? OUTRAGEOUS!! (Hidden at Hotel. Find four chocolate balls around the map)
Pebble | hard | rocks are merely big pebbles (Start in Goiky)
pen pog | hard | [Hidden in the Inverted Realm]
Penny | hard | [Hidden in the Inverted Realm]
Pi | hard | [Hidden in the Yoyleland Realm]
Pill | hard | [Hidden in the Yoyleland Realm]
Pizza | hard | [Hidden in Magma Canyon realm]
Planter | hard | [Hidden in Sakura Serenity]
Potato | hard | [Hidden in the Barren Desert Realm]
Puddle | hard | [Hidden in the BF1D Realm]
Purple Face | hard | you do not know anything, you're... PURPLE!!! (Start in City)
Redcurrant | hard | [Hidden in Classic Paradise]
Robot Loser | hard | [Hidden in the Inverted Realm]
Robot Saw | hard | [Hidden in Sakura Serenity]
Robot Tennis Ball | hard | [Hidden in Midnight Rooftops Realm]
Rollarskate | hard | A pair of skates so cool that they don't even follow the laws of physics. (Hidden at Warehouse)
Sans | hard | [Hidden in Midnight Rooftops Re- SANS?!??!!??!?]
Shoe | hard | [Hidden in Magma Canyon realm]
Shower | hard | [Hidden in the Yoyleland Realm]
Sidewalk | hard | [Hidden in Classic Paradise]
Slide Man | hard | look at em go (Hidden in Jungle)
Soul Cube | hard | [Hidden in Polluted Marshlands]
Sour Apple Sauce | hard | [Hidden in the Cherry Grove Realm]
Spark Plug | hard | find a way onto a roof (Hidden in Classic Roblox, but start at the Hotel.)
Square Lemon | hard | [Hidden in Classic Paradise]
Stabby | hard | [Hidden in the Yoyleland Realm]
Sundae | hard | nice and fresh, i sure hope it doesn't fall over (Hidden in Candyland)
Tablety | hard | find a window on the headquarters that are different from the rest
Think Emote | hard | [Hidden in the Barren Desert Realm]
Thready | hard | [Hidden in Midnight Rooftops Realm]
Titanium Knife | hard | start by finding a button in desert.
Toffee | hard | [Hidden in the Barren Desert Realm]
Tomato | hard | [Hidden in Midnight Rooftops Realm]
Tri-Tri | hard | there's something off with a nose somewhere... perhaps it's frostbite?
Tungsten | hard | she up all night grindin' my gears
Two Halves | hard | awh
Vibe Check 4 | hard | [Hidden in the Cherry Grove Realm]
Virtual Pet Lizard | hard | [Hidden in the Barren Desert Realm]
Vomit Drop | hard | look underneath a platform in a certain factory
VR Headset | hard | [Hidden in the Inverted Realm]
wax slitly weathered cut copper stairs | hard | [Hidden in Magma Canyon realm]
Yellow Face | hard | what do you use to film? (Start in City)
Yoyle Soda | hard | [Hidden in the Yoyleland Realm]
Battery | difficult | think about it, what item needs you to put a battery in?
Bicycle Wheel | difficult | [Hidden in the Yoyleland Realm]
Black Marker | difficult | how does an object simply noclip through reality? (Start in Spawn)
Blue Needle | difficult | Those legs explain some things... Hidden with her peers, obviously.
Blue Square | difficult | look in somewhere purple (Start in City)
Bluecky | difficult | i'm BLUE!!!!! DABABDEE!!!!!!! DABADI!!!!!! (Start in Fossil Falls)
Boaty | difficult | this is a VERY clutch jump (Hidden in Tropical Islands)
Box | difficult | [Hidden in the Inverted Realm]
Box Fan | difficult | inside of a factory room
Box of Free Puppies | difficult | [Hidden in the Inverted Realm]
Brick | difficult | [Hidden in the Backrooms]
Charger Box | difficult | [Hidden in the Backrooms]
Clapboard | difficult | find a way out of yellow face's room, maybe a hidden door?
Coffin | difficult | [Hidden in the Inverted Realm]
cool bracelety | difficult | [Hidden in the Cherry Grove Realm]
Daffodil | difficult | [Hidden in the Yoyleland Realm]
De Stijl | difficult | definitely the artwork of all time (Hidden in Classic Roblox)
Dora | difficult | find a way to noclip in the backrooms itself
Elevator | difficult | [Hidden in the Inverted Realm]
Em | difficult | oh em gee (Start in Fossil Falls)
Fire | difficult | don't let them get anywhere near that world ending bomb... oh for petals sake (Hidden in Warehouse)
Fish Bowl | difficult | check under the map
Folder | difficult | [Hidden in the Inverted Realm]
Four | difficult | outside of something. (Start in Goiky)
Friesland | difficult | [Hidden in the Inverted Realm]
Function | difficult | i am dearly sorry for where i put this one (Hidden at Warehouse)
Hailairhous | difficult | asdpisdau9u1jxjzkjf'sdaidps (Hidden in Snowy)
Headphones | difficult | someone threw away their headphones somewhere (Hidden near Tennis Ball)
Image | difficult | find a way into the factory room
Jelly Bread | difficult | [Hidden in the Cherry Grove Realm]
Jingle Bell | difficult | jingle jingle jingle (Start in Goiky)
Junior | difficult | david jr!!!!! real!!!! (Start in Goiky)
Kennel | difficult | [Hidden in the Yoyleland Realm]
Lasagna | difficult | box fan just needs some lasagna (Hidden in Factory)
Liberty Bell | difficult | [Hidden in the Inverted Realm]
Lily | difficult | where am i!! (Start in City)
Long Marker | difficult | uhhhhhhhhhh (Start in Goiky)
Mango | difficult | [Hidden in the Inverted Realm]
Meester Tweester | difficult | [Hidden in the Inverted Realm]
Metal Leafy | difficult | do an obby under the map.
One Way Sign | difficult | i have nothing for this one i genuinely don't (Hidden in Jungle)
Orange Cat | difficult | what a silly little guy (Hidden in Tropical Islands)
Paper | difficult | look around the hall of fame
Pastel Feather | difficult | how silly (Start in Goiky)
PDA | difficult | you have to click something on a wall
Peanut Butter Jar | difficult | [Hidden in Timber Peaks]
Piano Key | difficult | [Hidden in the Yoyleland Realm]
Pomegranatey | difficult | [Hidden in the Inverted Realm]
Portable Music Player | difficult | get into purple face's mouth
Power Outlet | difficult | [Hidden in the Backrooms]
Puffball | difficult | i believe i (can't) fly (Hidden in Goiky)
Red Balloony | difficult | [Hidden in the Inverted Realm]
S'mores | difficult | [Hidden in Timber Peaks]
Santa Hat | difficult | get to santa hat's sleigh!
Scarfy | difficult | [Hidden in the Inverted Realm]
Shampoo | difficult | maybe try checking seven's area?
Slingshot | difficult | [Hidden in the Inverted Realm]
Snowball | difficult | uh oh ball obby
Sunset | difficult | [Hidden in the Cherry Grove Realm]
Swiss Roll | difficult | three words: tap to move
Tennis Ball | difficult | there is two parts of a code in City and Snow, make sure to put /e before it!
Tennis Ball Speaker Box | difficult | in tennis ball's garbage pile
The First Frame | difficult | yeah, i know, she was so surprised (Start in Goiky)
Touch-Tone | difficult | real!!! (Start in Goiky)
Toxic Mushroom | difficult | [Hidden in the Inverted Realm]
Tropical Virtual Pet Lizard | difficult | oddly specific but ok (Hidden in Tropical Islands)
Vasey | difficult | [Hidden in Timber Peaks]
Wasabi Chips | difficult | [Hidden in Timber Peaks]
Wet Clay | difficult | poor clay never saw it coming (Start in Fossil Falls)
Win Token | difficult | this object is SLOP. (Start in Tropical Islands)
World Map | difficult | you might randomly find them while looking down
Yellow Watermelon | difficult | ceritifed materwelon (Hidden in Jungle)
Yoyle Pie | difficult | a delicate meal enjoyed by everyone... except king cake (Start in Goiky)
YSA Status | difficult | look, ok. if you had to add the 1025th character to a game about a show that only has about 150 relevant characters, what would YOU add?
Zero Dollar Bill | difficult | [Hidden in the Inverted Realm]
168,855 | extreme | [Hidden in the Cherry Grove Realm]
5 Yen Coin | extreme | [Hidden in the Barren Desert Realm]
Air Freshener | extreme | they just want to freshen the air... or the void i guess (Hidden in Candyland)
Amethyst | extreme | [Hidden in Classic Paradise]
Asteroid | extreme | [Hidden in Classic Paradise]
Autumn Leaf | extreme | [Hidden in Sakura Serenity]
Bamboo | extreme | [Hidden in Sakura Serenity]
Beach Ball | extreme | oh no, they're drowning!! press three buttons in each area to create a path: tropical islands, number playground, and candyland
Bead | extreme | that_beadyboi (Hidden in City)
Bean Can | extreme | [Hidden in Sakura Serenity]
Biscuit | extreme | [Hidden in Timber Peaks]
Blueberry Cupcake | extreme | [Hidden in Polluted Marshlands]
Bolty | extreme | [Hidden in Classic Paradise]
Bomby Plush | extreme | on the ceiling (Hidden in City)
Bug Zapper | extreme | [Hidden in Classic Paradise]
Butter Churner | extreme | [Hidden in Classic Paradise]
Butters | extreme | [Hidden in Sakura Serenity]
Cake Pop | extreme | what a lovely day innit bruv (Start in Candyland)
Clothy | extreme | [Hidden in Polluted Marshlands]
Clowny | extreme | [Hidden in the Backrooms]
Comet | extreme | push a boulder to a certain button, then return to the desert area
Controller | extreme | uhhhh cheat the obby (its a /e code)
Coolboy | extreme | [Hidden in the Yoylefactory]
Cough Drop | extreme | [Hidden in Timber Peaks]
CRT | extreme | no description
Cube | extreme | [Hidden in the Inverted Realm]
Dango | extreme | [Hidden in Midnight Rooftops Realm]
Dog Collar | extreme | they're stuck in the CRC
Dough | extreme | [Hidden in Timber Peaks]
Drum Kid | extreme | [Hidden in Polluted Marshlands]
DS | extreme | [Hidden in the Backrooms]
Earth | extreme | clip inside the interior of a building
Elbow | extreme | [Hidden in Classic Paradise]
Elephant | extreme | [Hidden in the Yoylefactory]
Emerald | extreme | [Hidden in Classic Paradise]
Evil Bubble | extreme | i'm glad that i get to do a key door puzzle. AGAIN. (Hidden in Desert, find a key)
Evil Price Tag | extreme | [Hidden in the Yoyleland Realm]
Falafel | extreme | something seems off about gelatin's menu...
FRIENDY+ | extreme | [Hidden in the Yoylefactory]
Gashapon Capsule | extreme | im (Hidden in Snowy)
Glitter Bottle | extreme | [Hidden in Midnight Rooftops Realm]
Green Square | extreme | (Hidden in Jungle)
Hashy | extreme | [Hidden in the Barren Desert Realm]
Homeless Spooky | extreme | spooky needs money help him (Start in Hotel, find a hat)(Made by @Just_Summa)
Horn | extreme | [Hidden in Sakura Serenity]
Hot Sauce | extreme | [Hidden in Midnight Rooftops Realm]
Ice Cream Cone | extreme | [Hidden in Midnight Rooftops Realm]
Icicle | extreme | [Hidden in the Backrooms]
Income Tax Return Document | extreme | just thinking about their life decisions... (Start in City)
Ink Ball | extreme | [Hidden in the Yoyleland Realm]
Irregular Polygon | extreme | is it REALLY a polygon if it has circular sides? (Hidden near... something red, in the sky) (Made by NTailsGoBrrrrr)
Jello | extreme | [Hidden in the Inverted Realm]
Lancer | extreme | [Hidden in Classic Paradise]
Latte | extreme | [Hidden in Classic Paradise]
Lava Ball | extreme | >:) (Start in Desert)
Lego Brick | extreme | don't step on it please i'm begging you (Hidden in Desert)
Line Coin | extreme | [Hidden in Midnight Rooftops Realm]
Little Baby Pizza | extreme | [Hidden in Midnight Rooftops Realm]
Locket | extreme | [Hidden in Sakura Serenity]
Magnet | extreme | [Hidden in Midnight Rooftops Realm]
Mattress | extreme | [Hidden in the Yoylefactory]
Meatball | extreme | [Hidden in Magma Canyon realm]
Microwave | extreme | chilling at the worst possible spot (Start in City)
Mocha | extreme | do i need it? (Start in Candyland)
Na | extreme | [Hidden in Magma Canyon realm]
Omega | extreme | omaga
Oyster | extreme | [Hidden in the Barren Desert Realm]
PB&J Sandwich | extreme | [Hidden in Midnight Rooftops Realm]
Peapod | extreme | [Hidden in Classic Paradise]
Phantastrophy | extreme | [Hidden in the Yoylefactory]
Phone | extreme | [Hidden in the Backrooms]
Pie | extreme | mari? oh... (Start in Candyland)
Pink Cary | extreme | [Hidden in the Inverted Realm]
Pixely | extreme | don't worry it's not actually the size of a pixel (Hidden in Jungle)
Poison Marker | extreme | [Hidden in the Yoyleland Realm]
Poker Chip | extreme | something red... (Hidden in City)
Poop | extreme | [Hidden in the Backrooms]
Poppy Seed Roll | extreme | [Hidden in Polluted Marshlands]
Puffball Speaker Box | extreme | it's cake at STAAAAAAAAAAAAA (Start in Candyland)
Quiver | extreme | [Hidden in Classic Paradise]
Raising Cane's Cup | extreme | who up raising they canes rn (Made by lowk3y_TJ) (Start in Candyland)
Red Mushroom | extreme |  (Start in Candyland)
refsbcj | extreme | [Hidden in Magma Canyon realm]
Revolver | extreme | high from the ground somewhere, you will need some people to help
Ribbon | extreme | [Hidden in the Inverted Realm]
Robot Cake | extreme | [Hidden in Classic Paradise]
Robot Firey | extreme | [Hidden in the Yoyleland Realm]
Robot Puppet | extreme | [Hidden in Magma Canyon realm]
Shoiyta | extreme | I.. I'M SHOIYTA!!!!! i know this is from greeny's grand game but i just couldn't resist it (Hidden in Desert)
Shrimp Tempura | extreme | [Hidden in Magma Canyon realm]
Snickerdoodle | extreme | [Hidden in Sakura Serenity]
Snowglobe | extreme | [Hidden in the Backrooms]
Softball | extreme | [Hidden in the Barren Desert Realm]
Specimum Sandwich | extreme | [Hidden in the Inverted Realm]
Spider Ball | extreme | [Hidden in Classic Paradise]
Spray Can | extreme | [Hidden in Midnight Rooftops Realm]
Steamboat Hat | extreme | one must imagine steamboat hat happy (Start in Factory)
Strudel | extreme | there is so little detail on this that it doesn't even resemble a strudel anymore (Start in Candyland)
Swordy | extreme | [Hidden in the Yoyleland Realm]
Taco With Tophat | extreme | what a fancy taco (Hidden in Jungle)
Taiyaki | extreme | [Hidden in Sakura Serenity]
Tune | extreme | find a pair of headphones in tennis ball's room
Uni | extreme | they gave up pushing that boulder after so many years (Hidden at Factory... sorta)
Vanilla Milkshake | extreme | i don't care what anyone has to say, vanilla is the goat (Start in Candyland)
Vomit | extreme | [Hidden in Midnight Rooftops Realm]
Weird Speaker Box | extreme | walk a long way after announcer (Start in City)
Yellow Pancake | extreme | [Hidden in the Inverted Realm]
Ace of Clubs | unforgiving | [Hidden in the Yoylefactory]
Algodoo Marble | unforgiving | [Hidden in Timber Peaks]
Announcer x 1222 | unforgiving | [Hidden in the Backrooms]
Backpack | unforgiving | [Hidden in the Inverted Realm]
Badge | unforgiving | [Hidden in the Backrooms]
Base Charger | unforgiving | [Hidden in the Yoylefactory]
Beanbag | unforgiving | comfiest chair in the world (Start in City)
Bell Pepper | unforgiving | [Hidden in the Cherry Grove Realm]
Black Square | unforgiving | [Hidden in the Backrooms]
Blueberry Machine | unforgiving | [Hidden in the Backrooms]
Bodywash Soapy | unforgiving | [Hidden in the Backrooms]
Bolf Gall | unforgiving | [Hidden in the Yoyleland Realm]
Cake | unforgiving | the cake is a lie (Start in PDA's Room)
Chips | unforgiving | [Hidden in Timber Peaks]
Coffee Mug | unforgiving | [Hidden in the Yoylefactory]
Credit Card | unforgiving | Okay, so if you just tell me your credit card number as well as the three little numbers on the back, you can get this object! Deal? (Start in City)
Danger Sign | unforgiving | [Hidden in the Backrooms]
Delicious Fruit | unforgiving | [Hidden in the Yoylefactory]
Demonic Painting | unforgiving | what a joyous painting! (Made by Ohlegess) (Start in Goiky)
Diamond | unforgiving | [Hidden in the Yoylefactory]
Drilly | unforgiving | clip out of bounds then clip out of the clipped bounds... clipception
Earphone Shotgun | unforgiving | corner clip on a suspicious wall (press F)
Exploding David | unforgiving | ruh roh.. who gave david a bomb head (Start in City)
Feet | unforgiving | find a controller in the headquarters
Firey Speaker Box | unforgiving | gotta complete an obby (Start in Desert)
Four's Uncle Craig | unforgiving | [Hidden in the Yoylefactory]
Frog | unforgiving | [Hidden in Timber Peaks]
Gramophone | unforgiving | [Hidden in the Inverted Realm]
Gumbally | unforgiving | someone put their gum under the table.... of course (Start in Goiky)
Lampy | unforgiving | don't ask why this one is insane difficulty (Start in Goiky)
Laundry Basket | unforgiving | [Hidden in the Backrooms]
Leafy Jr. | unforgiving | if there is a leafy jr. then what would evil leafy jr. look like? (Hidden in Jungle)
Locker | unforgiving | [Hidden in the Backrooms]
Match Box | unforgiving | [Hidden in the Yoyleland Realm]
Max | unforgiving | [Hidden in the Inverted Realm]
Monarch | unforgiving | why is it called a monarch why why wh (Start in Goiky)
Morganite | unforgiving | [Hidden in the Backrooms]
Mouse Trap | unforgiving | [Hidden in the Inverted Realm]
Music Box | unforgiving | [Hidden in the Backrooms]
Obsidian | unforgiving | [Hidden in the Inverted Realm]
One Recommended Character Per Recommender Sign | unforgiving | [Hidden in the Backrooms]
Onigiri | unforgiving | don't even think about pushing that button... (Start in City)
Ordinary Banana... | unforgiving | what time is it??? find three buttons in floating island, classic roblox, and somewhere else.. (Made by This_manisnothim)
Paint Bucket | unforgiving | [Hidden in the Yoylefactory]
Paint Drop | unforgiving | [Hidden in the Yoyleland Realm]
Peanut | unforgiving | look inside of the jungle trees
Pesticide | unforgiving | [Hidden in the Inverted Realm]
Plus | unforgiving | [Hidden in the Backrooms]
Quartz | unforgiving | find a key to a crate
Rainbow Orb | unforgiving | [Hidden in the Backrooms]
Robot Leafy | unforgiving | [Hidden in the Yoyleland Realm]
Roboty-y | unforgiving | i think it should be clear where this one is located
Seedling | unforgiving | [Hidden in the Yoylefactory]
Sickle | unforgiving | [Hidden in the Inverted Realm]
Spike Ball | unforgiving | don't like moving forests? then maybe you'd like this (Start in Goiky)
Squeaky Hammer | unforgiving | [Hidden in the Yoyleland Realm]
Steel Drum | unforgiving | [Hidden in the Inverted Realm]
Stool | unforgiving | look around in classic roblox
Stringy | unforgiving | [Hidden in the Inverted Realm]
Sun | unforgiving | wait.. the SUN?!?!? (Hidden in Goiky)
Teabag | unforgiving | [Hidden in the Yoylefactory]
Text Message | unforgiving | [Hidden in the Yoylefactory]
Thirteen | unforgiving | not gonna say where, but its near something purple
Tombstone | unforgiving | rip (Hidden in Fossil Falls)
Ushanka | unforgiving | [Hidden in the Backrooms]
Wasabi | unforgiving | [Hidden in the Yoyleland Realm]
Watermelon | unforgiving | [Hidden in the Yoylefactory]
Yellow Leopard | unforgiving | heck (Hidden in Desert)
Yoyle Spoon | unforgiving | [Hidden in Timber Peaks]
Zombified Barf Bag | unforgiving | find a wrench to unlock access to the sewers
Austrian Shield | insane | [Hidden in Polluted Marshlands]
B.O.D | insane | [Hidden in the Backrooms]
Beetroot | insane | [Hidden in Classic Paradise]
BFDIA 5b | insane | [Hidden in Classic Paradise]
Black Hole | insane | There are pieces of code scattered throughout Spawn and Snow areas, find all 5 pieces and then go to Factory area.
Blob of Syrup | insane | [Hidden in Polluted Marshlands]
Block of Glass | insane | [Hidden in the Yoylefactory]
Branchy | insane | [Hidden in Polluted Marshlands]
Bread Coiny | insane | [Hidden in Midnight Rooftops Realm]
Bubble | insane | oh lord why do i love invisible platforms so much. (Start in City)
Buh | insane | hey guys, it's me, buh! and welcome... to the buh-ly object show! (Start in Warehouse)
Burger Blanket | insane | [Hidden in Midnight Rooftops Realm]
ca2 | insane | [Hidden in Magma Canyon realm]
Calamari Ring | insane | [Hidden in Classic Paradise]
Cardy | insane | [Hidden in Magma Canyon realm]
China | insane | [Hidden in Polluted Marshlands]
Chocolate Circle | insane | [Hidden in Sakura Serenity]
City of LAy | insane | [Hidden in the Inverted Realm]
Crystal Firey | insane | [Hidden in Classic Paradise]
Cuber | insane | [Hidden in the Backrooms]
Cup Stacky | insane | [Hidden in the Backrooms]
Davidy | insane | [Hidden in Sakura Serenity]
Dioptase | insane | [Hidden in Classic Paradise]
Electrostatic | insane | [Hidden in the Yoylefactory]
Erlenmeyer | insane | [Hidden in Magma Canyon realm]
Evil Firey | insane | [Hidden in the Evil Forest Realm]
Feather | insane | he's way too far in the sky for you to reach... perhaps if you had a friend to help?
Fernandez | insane | [Hidden in the Barren Desert Realm]
Flower Speaker Box | insane | shes near firey speaker box
Four Colored Gelatin | insane | GELATIN WHAT DID THEY DO TO YOU (Start in Goiky)
Frame | insane | [Hidden in the Inverted Realm]
Frog Four | insane | [Hidden in the Yoyleland Realm]
Frozen Yogurt | insane | Start in Candyland
Geode | insane | Just another hump of trash in the sewers.(Start at Hotel)
Gingerbread Man | insane | do you know the muffin man (Start in Number Playground)
Glowstick | insane | [Hidden in the Yoylefactory]
Goldy | insane | [Hidden in Midnight Rooftops Realm]
Hanheld | insane | [Hidden in the Yoylefactory]
Humorous Hummus | insane | [Hidden in Sakura Serenity]
Hyper | insane | [Hidden in the Inverted Realm]
Ice Bracelety | insane | [Hidden in the Barren Desert Realm]
Impostory | insane | [Hidden in Midnight Rooftops Realm]
Infinity | insane | [Hidden in Classic Paradise]
Ink | insane | [Hidden in the Inverted Realm]
Inverted Cursor | insane | ]mlaeR spotfooR thgindiM ni neddiH[
Iolite | insane | [Hidden in Classic Paradise]
Juice Box | insane | [Hidden in the Yoylefactory]
Laser Pointer | insane | not exactly the most ideal place to be (Start in City)
Magney | insane | [Hidden in Classic Paradise]
Maroon Ball | insane | [Hidden in the Yoylefactory]
Milky | insane | [Hidden in Midnight Rooftops Realm]
Mojito Glass | insane | [Hidden in Polluted Marshlands]
Mous.V | insane | [Hidden in Timber Peaks]
MousePad | insane | [Hidden in the Yoylefactory]
Not Canon | insane | [Hidden in Midnight Rooftops Realm]
oblique pentagonal prism | insane | [Hidden in the Cherry Grove Realm]
Ottoman | insane | [Hidden in the Inverted Realm]
owoball | insane | [Hidden in the Yoylefactory]
Pan Flute | insane | [Hidden in the Barren Desert Realm]
Peach | insane | [Hidden in Classic Paradise]
Piano | insane | [Hidden in the Yoylefactory]
Pink Lemonade | insane | [Hidden in Polluted Marshlands]
Plant | insane | [Hidden in Sakura Serenity]
Popsicle | insane | [Hidden in the Yoylefactory]
Pride Cat Firey | insane | rawr nya X3 (Start in City)
Pugsley | insane | [Hidden in the Yoylefactory]
Rainbow Cloudy | insane | [Hidden in Midnight Rooftops Realm]
Rainbow Slinky | insane | [Hidden in Classic Paradise]
Red Leaf | insane | [Hidden in Sakura Serenity]
Rubber Ball | insane | [Hidden in the Yoylefactory]
Shinyleaf | insane | oooo shiny (Start in Candyland)
SimOndoMino | insane | [Hidden in Midnight Rooftops Realm]
Sippy | insane | hmmmmmmmmmmmmmmmmmmmmmmmmm (Start in City)
Sky | insane | [Hidden in the Yoyleland Realm]
Spikey | insane | [Hidden in Sakura Serenity]
Square Root | insane | [Hidden in Timber Peaks]
Starfruit | insane | [Hidden in Polluted Marshlands]
Starie | insane | [Hidden in Midnight Rooftops Realm]
Stickynotes | insane | [Hidden in the Yoylefactory]
Stump | insane | [Hidden in Timber Peaks]
THE GET AWAY FROM ME BUTTON!!!!!!! | insane | looks like two dropped his button somewhere
Thermometer | insane | [Hidden in Timber Peaks]
Toothbrush | insane | [Hidden in the Inverted Realm]
Trash Can | insane | heya mmm no hints!
Trashbag | insane | [Hidden in the Yoylefactory]
Two | insane | invisible platforms are cool. (Start in Goiky)
Vinyl Record | insane | [Hidden in Timber Peaks]
W | insane | [Hidden in Midnight Rooftops Realm]
Wild West Painting | insane | [Hidden in the Backrooms]
X | insane | kick down something... (Start in Goiky)
Accordion | dreadful | [Hidden in the Backrooms]
Aura Sphere | dreadful | [Hidden in the Yoylefactory]
Bandana | dreadful | find a pathway that leads somewhere outside (Start in City)
Blackbelt | dreadful | [Start in the Yoylefactory Realm]
Candle | dreadful | [Hidden in Timber Peaks]
Candy Wrapper | dreadful | [Hidden in the Yoylefactory]
Carbon Dioxide | dreadful | [Start in the Yoylefactory Realm]
Cheeseburger | dreadful | [Hidden in Timber Peaks]
Cherryade | dreadful | [Start in the Yoylefactory Realm]
Civil Siren | dreadful | [Hidden in the Backrooms]
Clickbait Arrow | dreadful | [Hidden in Classic Paradise]
d | dreadful | hidden somewhere that contains a d (Start in Tennis Ball's room)
Demon Ball | dreadful | [Hidden in the Inverted Realm]
DUMMY3 | dreadful | [Hidden in the Yoylefactory]
Evil Book | dreadful | [Hidden in the Evil Forest Realm]
Evil Gelatin | dreadful | [Hidden in the Evil Forest Realm]
Evil Jarry | dreadful | [Hidden in the Evil Forest Realm]
Evil Spongy | dreadful | [Hidden in the Evil Forest Realm]
Fermata | dreadful | [Hidden in the Backrooms]
Gold Block | dreadful | [Hidden in the Inverted Realm]
Graphics Card | dreadful | [Hidden in the Yoylefactory]
Hoodie | dreadful | [Start in the Yoylefactory Realm]
Immortality Thing | dreadful | IMMORTALITY!!!!!!! (Start at Hotel) (Made by KingOfChomiks90)
IV Bag | dreadful | [Hidden in the Yoyleland Realm]
Jabuticaba | dreadful | [Hidden in the Inverted Realm]
Jellybean Jar | dreadful | that's a nice jar of jellybeans there (Made by lowk3y_TJ) (Hidden in Candyland)
Karate Pot | dreadful | [Hidden in the Backrooms]
Leafmote | dreadful | [Hidden in the Yoylefactory]
Lipstick | dreadful | [Hidden in the Yoyleland Realm]
Lithium | dreadful | [Hidden in the Yoylefactory]
Mangosteen | dreadful | [Hidden in the Yoyleland Realm]
Mason | dreadful | [Hidden in the Backrooms]
MissingYes | dreadful | [Hidden in the Yoylefactory]
Mouse Guy | dreadful | [Hidden in the Yoylefactory]
Oodle | dreadful | something lies deeper within the EXIT...
Piece of Glass | dreadful | [Hidden in the Inverted Realm]
Princess Flower | dreadful | [Hidden in the Inverted Realm]
Pykrete | dreadful | [Hidden in the Cherry Grove Realm]
Raisin | dreadful | [Hidden in the Yoylefactory]
Sad Cloudy | dreadful | find yourself in an unfortunate predicament after trying to cheese a certain character
Safe | dreadful | he's safe to where no one can find him... right? (Start in City)
Skateboard | dreadful | [Hidden in the Backrooms]
Spammy | dreadful | [Hidden in Timber Peaks]
Spatula | dreadful | [Hidden in the Yoylefactory]
Swirl | dreadful | [Hidden in the Backrooms]
Torch | dreadful | it's torc (Start at Factory)
Torn Pillow | dreadful | [Hidden in the Evil Forest Realm]
Tornado | dreadful | find a ladder that leads outside
Toxic Bomb | dreadful | [Hidden in the Inverted Realm]
Troll Face | dreadful | problem? (Start at Factory, get trolled.)
Vacuum | dreadful | [Hidden in the Yoyleland Realm]
White Board | dreadful | [Hidden in the Yoylefactory]
Wizard Hat | dreadful | [Hidden in the Yoylefactory]
-8 Ball | terrifying | [Hidden in the Yoylefactory]
2009 Firey | terrifying | [Hidden in Classic Paradise]
[Loading Object] | terrifying | Loading selected realm...
Amber | terrifying | [Hidden in the Cherry Grove Realm]
Among Us Four | terrifying | [Hidden in the Yoylefactory]
Button | terrifying | [Hidden in the Yoylefactory]
Checkered Flag | terrifying | [Hidden in the Inverted Realm]
Chicken Nuggets | terrifying | find a way to destroy a barrel at desert. anything for the nuggets!!!
cool ice cube | terrifying | [Hidden in Midnight Rooftops Realm]
Cord | terrifying | [Hidden in the Backrooms]
Cremini | terrifying | [Hidden in Midnight Rooftops Realm]
Deadly | terrifying | [Hidden in Classic Paradise]
Dragonman | terrifying | [Hidden in Polluted Marshlands]
Electronic Game | terrifying | [Hidden in Midnight Rooftops Realm]
Every Character Fused | terrifying | [Hidden in Midnight Rooftops Realm]
Evidence Bag | terrifying | to see this description first you must find evidence of DEEZ NU- (Start in Factory)
Evil David | terrifying | [Hidden in the Evil Forest Realm]
Fake Firey | terrifying | [Hidden in the Backrooms]
FLA | terrifying | [Start in the Yoylefactory Realm]
Gaming Controller | terrifying | [Hidden in the Yoylefactory]
Geocache | terrifying | [Hidden in the Inverted Realm]
Grarblicker | terrifying | [Hidden in Classic Paradise]
Literal Air | terrifying | [Hidden in the Cherry Grove Realm]
Missing Texture Block | terrifying | [Hidden in the Yoylefactory]
Network Cable Tester | terrifying | [Hidden in Timber Peaks]
Nightlighty | terrifying | [Hidden in the Backrooms]
Non-Slip Shoes so Ha | terrifying | [Hidden in Sakura Serenity]
oMg | terrifying | [Hidden in Sakura Serenity]
Paper Jam Leafy | terrifying | [Start in the Yoylefactory Realm]
Piece of String | terrifying | [Start in the Yoylefactory Realm]
Quereltrajankyn | terrifying | what in the world is that (Made by KingOfChomiks90), (Start in spawn, maybe look up?)
Radio | terrifying | [Hidden in Midnight Rooftops Realm]
RAM Chip | terrifying | [Hidden in the Yoylefactory]
